# Rime user dictionary
#@/db_name	ounei_test
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1996
#@/user_id	TAKUSEI-DESKTOP
b;[bh 	病	c=1 d=1 t=817
b;[bk 	並	c=2 d=1.00075 t=1786
b;[bk fa[vy 	併發	c=1 d=1 t=1208
b;[bk qx[ke 	並且	c=2 d=1.06204 t=1641
b;[bk x;[rh 	並行	c=1 d=1 t=1209
ba[fb 	把	c=1 d=1 t=1555
bc[ae vp[dv 	標準	c=2 d=1.48191 t=712
bc[ae vu[dd 	標註	c=1 d=1 t=397
bc[fy da[dz 	表達	c=2 d=1.91393 t=1357
bc[fy q;[xf 	表情	c=1 d=1 t=491
bc[fy vg[rh 	表徵	c=7 d=3.28531 t=1506
bg[uo vu[uz 	崩逐	c=1 d=1 t=762
bh[fj 	幫	c=0 d=0.1 t=962
bh[fj mh[xw 	幫忙	c=1 d=1 t=848
bh[fj vu[ql 	幫助	c=6 d=2.49909 t=1074
bh[fj vu[ql ts[kh xt[xz 	幫助同學	c=1 d=1 t=91
bh[fj wo[pf mf[rm 	幫我們	c=1 d=1 t=963
bi[bb 	比	c=0 d=0.1 t=669
bi[bb jc[il 	比較	c=1 d=0.13725 t=1497
bi[bb jc[il uk[xp 	比較少	c=1 d=1 t=196
bi[bb jc[il xc[ub 	比較小	c=1 d=1 t=1498
bi[bb jc[il yr[ee 	比較元	c=1 d=1 t=1296
bi[bb ta[ry mf[rm 	比他們	c=1 d=1 t=670
bi[hz 	逼	c=1 d=1 t=1627
bi[xp xu[py 	必須	c=1 d=1 t=1983
bi[xp yk[xn 	必要	c=2 d=1.61878 t=1832
bj[ep 	阪	c=1 d=1 t=1975
bj[lb fa[dt 	辦法	c=0 d=0.1 t=95
bj[pp 	版	c=1 d=1 t=1913
bk[bk vd[dy 	包裝	c=1 d=1 t=1033
bk[fe co[jg 	報錯	c=3 d=1.45187 t=1995
bk[fe dk[bz 	報道	c=1 d=1 t=771
bk[ho 	爆	c=7 d=4.20374 t=1621
bk[ho bk[ho 	爆爆	c=1 d=1 t=1587
bk[rk cp[uz 	保存	c=1 d=1 t=1274
bk[rk oj[gn 	保安	c=1 d=1 t=124
bk[rk vg[yh 	保證	c=4 d=3.72956 t=889
bk[rk vs[ph 	保重	c=1 d=1 t=1032
bm[ld 	辨	c=1 d=1 t=1799
bm[sh 	編	c=1 d=1 t=1056
bm[sh ma[em 	編碼	c=1 d=1 t=1332
bm[sh yi[yy qi[kq 	編譯器	c=1 d=1 t=1767
bm[yy da[hr 	變大	c=1 d=1 t=1434
bm[yy ld[oh 	變量	c=1 d=1 t=1800
bm[yy wz[dl 	變爲	c=1 d=1 t=1922
bo[ab la[fl tu[ww 	柏拉圖	c=1 d=1 t=584
bu[eu 	不	c=0 d=0.1 t=184
bu[eu bz[yp 	不被	c=1 d=1 t=123
bu[eu dk[hd 	不到	c=1 d=1 t=543
bu[eu dk[hd wz[rl 	不到位	c=1 d=1 t=185
bu[eu dl[cj 	不帶	c=1 d=1 t=262
bu[eu dv[yc 	不對	c=1 d=1 t=757
bu[eu fu[ro za[ja 	不復雜	c=1 d=1 t=545
bu[eu fu[vr he[rh 	不符合	c=1 d=1 t=350
bu[eu gb[bx 	不夠	c=3 d=2.57862 t=1456
bu[eu gr[vg 	不管	c=1 d=1 t=323
bu[eu hv[re 	不會	c=3 d=1.73378 t=1485
bu[eu iu[ck 	不出	c=1 d=1 t=1487
bu[eu ke[dk ng[sb 	不可能	c=1 d=1 t=1443
bu[eu lc[vu 	不了	c=1 d=1.00129 t=1039
bu[eu ng[sb 	不能	c=1 d=1 t=815
bu[eu qi[zk 	不起	c=0 d=0.1 t=1660
bu[eu tl[dd 	不太	c=0 d=0.1 t=1188
bu[eu tl[dd ke[dk ng[sb 	不太可能	c=1 d=1 t=1167
bu[eu tl[dd qt[ed d;[gp 	不太確定	c=1 d=1 t=1189
bu[eu ts[kh 	不同	c=1 d=0.943665 t=1585
bu[eu ts[kh fh[dw oj[ga 	不同方案	c=1 d=1 t=1586
bu[eu ts[kh yu[eu 	不同於	c=1 d=1 t=1850
bu[eu uh[bh 	不上	c=1 d=1 t=1467
bu[eu ui[op 	不是	c=3 d=1.3949 t=1547
bu[eu vi[uh 	不止	c=1 d=1 t=1203
bu[eu vi[uk 	不知	c=1 d=1 t=1202
bu[eu vi[uk dk[bz 	不知道	c=1 d=1 t=919
bu[eu vp[dv 	不準	c=1 d=1 t=1328
bu[eu wj[we 	不玩	c=0 d=0.1 t=150
bu[eu x;[rh 	不行	c=1 d=1 t=998
bu[eu xi[xg 	不惜	c=0 d=0.1 t=1122
bu[eu xi[xg qi[zk 	不惜起	c=1 d=1 t=1123
bu[eu yi[gq 	不宜	c=1 d=1 t=805
bu[eu yi[hh d;[gp 	不一定	c=2 d=1.18637 t=806
bu[eu yi[hh yh[ay 	不一樣	c=3 d=1.0386 t=1461
bu[eu yk[xn 	不要	c=3 d=1.37039 t=1413
bu[eu ys[ou 	不用	c=6 d=2.35195 t=1572
bu[eu ys[ou hw[cr qm[jj 	不用花錢	c=1 d=1 t=1084
bu[eu zo[rg 	不做	c=1 d=1 t=1410
bu[ff 	捕	c=-2 d=1.06687 t=1884
bu[le ff[bd 	部分	c=2 d=1.06687 t=1885
bu[uj bk[bk 	布包	c=1 d=1 t=1228
bu[vu 	步	c=1 d=1 t=801
bu[yb 	補	c=2 d=1.00105 t=1606
bx[kd 	別	c=0 d=0.1 t=1716
bx[kd de[bb 	別的	c=2 d=1.17119 t=1169
bx[kd rf[pd wj[we 	別人玩	c=1 d=1 t=1717
bz[bo j;[ow 	背景	c=1 d=1 t=1524
bz[ub j;[wk 	北京	c=1 d=1 t=1523
bz[wt ff[rf 	備份	c=2 d=1.98511 t=1376
ce[db 	測	c=4 d=1.09417 t=1267
ce[db p;[yp 	測評	c=0 d=0.1 t=67
ce[db ui[yq 	測試	c=10 d=3.28403 t=1256
ce[vc hw[gd 	策劃	c=1 d=1 t=1049
cf[sd ci[yg bu[eu qi[wp 	參差不齊	c=1 d=1 t=239
ci[bx uj[yk 	慈善	c=0 d=0.1 t=91
ci[bx uj[yk ji[aj gb[ab 	慈善機構	c=1 d=1 t=1090
ci[cd ji[db 	刺激	c=1 d=1 t=217
ci[yv 	詞	c=4 d=1.12313 t=1287
ci[yv dm[kb 	詞典	c=3 d=1.12533 t=1044
ci[yv hv[dk 	詞彙	c=0 d=0.1 t=691
cj[sd 	參	c=0 d=0.1 t=1472
cj[sd uu[mw 	參數	c=1 d=1 t=1061
