# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	289
#@/user_id	TAKUSEI-DESKTOP
a 	啊	c=1 d=1 t=90
an jian 	按鍵	c=2 d=1.93707 t=187
an jian 	案件	c=1 d=1 t=173
ban fa 	辦法	c=1 d=1 t=149
bang zhu 	幫助	c=2 d=1.94649 t=234
bei fang 	北方	c=0 d=0.1 t=20
bei fang wang you 	北方網友	c=1 d=1 t=21
bian ji 	編輯	c=2 d=1.94649 t=231
bian ma 	編碼	c=1 d=1 t=267
biao shi 	表示	c=1 d=1 t=184
bu he 	不喝	c=1 d=1 t=253
bu shi 	不是	c=3 d=2.57658 t=114
bu xian shi 	不顯示	c=1 d=1 t=268
cai dan 	菜單	c=0 d=0.1 t=141
can kao 	參考	c=1 d=1 t=189
cha kan 	查看	c=2 d=2.08865 t=233
cha kan de 	查看的	c=1 d=1 t=222
chao dao 	超導	c=0 d=0.1 t=111
che jian 	車間	c=1 d=1 t=82
che jin 	扯進	c=0 d=0.1 t=80
che jin mei 	扯進沒	c=1 d=1 t=81
cheng xu 	程序	c=0 d=0.1 t=141
cheng xu cai dan 	程序菜單	c=1 d=1 t=142
chu 	處	c=1 d=1 t=168
chu li 	處理	c=1 d=1 t=206
cong 	從	c=1 d=1 t=165
da xiao xie 	大小寫	c=1 d=1 t=177
dai ma 	代碼	c=1 d=0.939457 t=234
dan yi 	單一	c=0 d=0.1 t=154
dan yi xiu gai 	單一修改	c=1 d=1 t=155
dang an 	檔案	c=1 d=1 t=160
de 	的	c=16 d=9.50706 t=221
deng 	等	c=1 d=1 t=167
deng lu 	登錄	c=1 d=1 t=25
di dian 	地點	c=0 d=0.1 t=64
di dian xian 	地點先	c=1 d=1 t=65
dian biao 	電錶	c=0 d=0.1 t=105
dian du 	電鍍	c=1 d=1 t=70
dian nao 	電腦	c=1 d=1 t=208
dian you 	電郵	c=4 d=3.86859 t=49
ding yi 	定義	c=1 d=1 t=197
ding zhi 	定製	c=1 d=1 t=159
dong xi 	東西	c=0 d=0.1 t=255
dou 	都	c=1 d=1 t=135
dou yong 	都用	c=1 d=1 t=181
dui 	對	c=1 d=1 t=89
dui hua kuang 	對話框	c=1 d=1 t=171
dui yu 	對於	c=1 d=1 t=144
duo ren wu 	多任務	c=1 d=1 t=205
duo yong 	多用	c=0 d=0.1 t=105
duo yong dian biao 	多用電錶	c=1 d=1 t=106
fan ti 	繁體	c=1 d=1 t=16
fu zhu 	輔助	c=1 d=1 t=280
gan 	敢	c=1 d=1 t=87
gan diao 	幹掉	c=1 d=1 t=276
gan sha 	幹啥	c=2 d=1.99005 t=76
ge 	個	c=1 d=1 t=259
ge 	哥	c=1 d=1 t=63
ge shi 	格式	c=2 d=1.94649 t=232
gei wo 	給我	c=2 d=1.99005 t=10
geng 	更	c=1 d=1 t=192
guo lai 	過來	c=1 d=1 t=107
ha 	哈	c=0 d=0.1 t=66
he 	和	c=2 d=1.73712 t=179
he 	鶴	c=0 d=0.1 t=281
he bing 	合併	c=1 d=1 t=203
hei hei 	嘿嘿	c=1 d=1 t=257
hei se 	黑色	c=1 d=1 t=225
heng 	橫	c=1 d=1 t=258
heng pai 	橫排	c=1 d=1 t=263
heng shu 	橫豎	c=1 d=1 t=239
hou 	後	c=0 d=0.1 t=237
hou xuan 	候選	c=1 d=1 t=264
hou xuan xiang 	後選項	c=1 d=1 t=238
hui bei 	會被	c=1 d=1 t=136
huo 	或	c=1 d=1 t=154
ji 	寄	c=1 d=1 t=255
ji shi ben 	記事本	c=2 d=1.77105 t=218
jian cha 	檢查	c=1 d=1 t=245
jian mao 	鍵帽	c=0 d=0.1 t=115
jian ti 	簡體	c=1 d=1 t=5
jiang 	將	c=2 d=1.49907 t=162
jiu 	就	c=0 d=0.1 t=225
jiu su qi 	就俗氣	c=1 d=1 t=226
kai 	開	c=1 d=1 t=95
kan 	看	c=0 d=0.1 t=40
ke yi 	可以	c=1 d=1 t=246
ken ding 	肯定	c=1 d=1 t=94
lai 	來	c=0 d=0.1 t=66
lan 	藍	c=0 d=0.1 t=66
lan ha tan wu lai 	藍哈貪污來	c=1 d=1 t=67
le 	了	c=5 d=2.96842 t=277
lei xing 	類型	c=1 d=1 t=146
li 	裏	c=1 d=1 t=172
lian xi fang shi 	聯繫方式	c=2 d=1.99005 t=31
lie biao 	列表	c=1 d=1.01851 t=162
lve you 	略有	c=1 d=1 t=284
ma 	嗎	c=5 d=3.37267 t=289
ma 	碼	c=1 d=1 t=281
mei 	沒	c=0 d=0.1 t=80
mei hui qu 	沒回去	c=0 d=0.1 t=247
mei you 	沒有	c=2 d=1.95734 t=148
mei you tu qi 	沒有突起	c=1 d=1 t=133
ming cheng 	名稱	c=2 d=2.03002 t=188
mo 	摸	c=1 d=1 t=130
