# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
b;[bh le[vu 	病了	c=1 d=1 t=9061
b;[bk 	並	c=9 d=1.001 t=5422
b;[bk bu[eu nj[yv 	並不難	c=1 d=1 t=1524
b;[bk bu[eu ui[op 	並不是	c=3 d=1 t=10618
b;[bk mz[dj yb[uo 	並沒有	c=2 d=1 t=3745
b;[bk qx[ke 	並且	c=27 d=1.0161 t=11411
b;[du 	冰	c=5 d=2.11415 t=7974
b;[du b;[du 	冰冰	c=1 d=1 t=1673
b;[du ny[vp 	冰女	c=9 d=2.64382 t=11454
b;[du tk[di 	冰套	c=2 d=1.96561 t=7678
b;[du yr[ib 	冰原	c=1 d=1 t=9143
b;[du yu[hv ho[dp 	冰與火	c=2 d=1.9802 t=6310
b;[qb 	兵	c=1 d=0.466045 t=439
b;[qb mz[dj yb[uo 	兵沒有	c=1 d=1 t=440
ba[fb 	把	c=2 d=1 t=11370
ba[kb 	吧	c=3 d=0.107559 t=11239
ba[ku bx[kd 	巴別	c=0 d=0.199501 t=2836
ba[ku bx[kd ta[gb 	巴別它	c=1 d=1 t=2836
ba[ku bx[kd ta[tc 	巴別塔	c=3 d=1.00001 t=11451
ba[pd fh[dw 	八方	c=1 d=1 t=6456
ba[pd ig[wv 	八成	c=1 d=1 t=4769
bc[ae gj[ag 	標杆	c=1 d=1 t=6902
bc[ae ji[yk 	標記	c=4 d=3.61841 t=2272
bc[ae pz[yk 	標配	c=1 d=1 t=6875
bc[ae qm[vr 	標籤	c=3 d=2.2192 t=3487
bc[ae ti[oy 	標題	c=1 d=1 t=2968
bc[ae vp[dv 	標準	c=2 d=1.91393 t=3230
bc[fy 	表	c=1 d=1 t=2424
bc[fy da[dz 	表達	c=6 d=1 t=9199
bc[fy ge[aw 	表格	c=1 d=1 t=9850
bc[fy mm[ew 	表面	c=1 d=1 t=2255
bc[fy q;[xf 	表情	c=3 d=2.98506 t=9218
bc[fy uu[az 	表述	c=1 d=1.099 t=5371
bc[fy uu[az iu[ck ll[hm 	表述出來	c=1 d=1 t=5370
bc[fy xm[wj 	表現	c=1 d=1 t=3883
bc[jx ke[gw 	鏢客	c=0 d=0.1 t=9552
bf[ah di[ty 	本地	c=3 d=1.96584 t=8960
bf[ah ji[aj 	本機	c=2 d=1.78663 t=7230
bf[ah ke[hd 	本科	c=1 d=1 t=1923
bf[ah ll[hm 	本來	c=4 d=1.00025 t=9953
bf[ah ng[sb 	本能	c=2 d=1 t=10082
bf[ah ti[ra 	本體	c=1 d=1 t=9141
bf[ah uf[pu 	本身	c=8 d=1.05925 t=11392
bf[ah vi[pu 	本質	c=1 d=1 t=6204
bf[ah vi[pu uh[bh 	本質上	c=1 d=1 t=5492
bg[so 	繃	c=1 d=1 t=4811
bg[uo 	崩	c=1 d=1 t=1696
bg[uo hy[tb 	崩壞	c=2 d=1 t=3648
bg[uo hy[tb x;[op qs[xg tx[jp dk[bz 	崩壞星穹鐵道	c=1 d=1 t=9764
bg[uo kv[dv 	崩潰	c=2 d=1.98511 t=9776
bg[uo le[px 	崩樂	c=1 d=1 t=1693
bg[uo le[vu 	崩了	c=1 d=1 t=1697
bg[uo tx[jp 	崩鐵	c=1 d=1 t=10890
bh[as 	棒	c=1 d=1 t=1552
bh[as qq[wh 	棒球	c=1 d=1 t=6768
bh[fe bh[fe 	邦邦	c=1 d=1 t=7753
bh[fe bu[uj 	邦布	c=5 d=2.48625 t=7225
bh[fj ni[rd 	幫你	c=1 d=1 t=8714
bh[fj vu[dw 	幫主	c=2 d=1.99005 t=109
bh[fj vu[ql 	幫助	c=4 d=1 t=5953
bh[fj vu[ql li[wo jx[dd 	幫助理解	c=1 d=1 t=1761
bh[fj wo[pf 	幫我	c=4 d=1.60078 t=10251
bi[bb 	比	c=2 d=1.97532 t=704
bi[bb bu[eu uh[bh 	比不上	c=1 d=1 t=4719
bi[bb jc[il 	比較	c=17 d=1.93635 t=8717
bi[bb jc[il da[hr 	比較大	c=1 d=1 t=7259
bi[bb jc[il do[xx 	比較多	c=1 d=1 t=8387
bi[bb jc[il hk[nz 	比較好	c=3 d=1.00004 t=6470
bi[bb li[hd 	比利	c=1 d=1 t=7738
bi[bb qi[zk 	比起	c=1 d=1 t=10821
bi[bb ru[nk 	比如	c=11 d=1.98511 t=9610
bi[bb sl[gb 	比賽	c=0 d=0.1 t=7751
bi[bb ta[ry 	比他	c=1 d=1 t=10181
bi[bb vs[ph 	比重	c=1 d=1 t=5865
bi[bb wo[pf 	比我	c=1 d=1 t=8904
bi[bu j;[lo 	畢竟	c=3 d=1.51427 t=9695
bi[bu ye[ub 	畢業	c=9 d=4.02238 t=10115
bi[bu ye[ub ue[yj ji[yu 	畢業設計	c=1 d=1 t=2501
bi[mc se[gt 	閉塞	c=1 d=1 t=10750
bi[pj 	幣	c=1 d=1 t=7492
bi[vm ji[yk bf[ah 	筆記本	c=6 d=1.0001 t=9057
bi[xp 	必	c=2 d=1 t=11084
bi[xp xu[py 	必須	c=5 d=3.02581 t=9536
bj[bf 	半	c=2 d=1 t=6779
bj[bf dr[pj 	半段	c=1 d=1 t=2991
bj[bf ff[bd vs[jv 	半分鐘	c=1 d=1 t=6525
bj[bf ge[ru 	半個	c=1 d=1 t=8209
bj[bf ge[ru xc[ub ui[oc 	半個小時	c=1 d=1 t=6341
bj[bf nm[rn 	半年	c=2 d=1.56836 t=10156
bj[bf pm[vh 	半篇	c=1 d=1 t=9880
bj[bf tb[hz m;[oo 	半透明	c=1 d=1 t=4528
bj[bf xc[ub ui[oc 	半小時	c=1 d=1 t=2947
bj[bf ye[wr 	半夜	c=1 d=1 t=8943
bj[fv 	搬	c=1 d=1 t=11335
bj[lb fa[dt 	辦法	c=2 d=1.42105 t=10935
bj[lb gs[bs ui[gh 	辦公室	c=1 d=1 t=10717
bj[pp 	版	c=6 d=1.29634 t=10053
bj[pp bf[ah 	版本	c=3 d=1 t=11569
bj[wd 	班	c=2 d=1.99005 t=2739
bk[bk 	包	c=3 d=1.99501 t=11457
bk[bk hj[rk 	包含	c=8 d=1.19663 t=6182
bk[bk ko[fq 	包括	c=2 d=1.00504 t=1442
bk[bk le[vu 	包了	c=1 d=1 t=4543
bk[bk wz[ww 	包圍	c=1 d=1 t=6326
bk[fb qm[bd 	抱歉	c=1 d=1 t=6838
bk[fe co[jg 	報錯	c=2 d=1 t=8974
bk[fe ib[yd 	報酬	c=0 d=0.1 t=8772
bk[fe ib[yd jn[rw 	報酬金	c=1 d=1 t=8773
bk[ho 	爆	c=1 d=1 t=3803
bk[ho bk[ho bk[ho 	爆爆爆	c=1 d=1 t=8929
bk[ho fa[vy 	爆發	c=1 d=1 t=9128
bk[ho uh[rr 	爆傷	c=3 d=2.82376 t=8912
