# Rime user dictionary
#@/db_name	ounei_hand
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	36936
#@/user_id	TAKUSEI-DESKTOP
b;[bh ju[bk 	病句	c=1 d=1 t=7420
b;[bk 	並	c=36 d=1.00695 t=35079
b;[bk bu[eu 	並不	c=4 d=0.279066 t=28321
b;[bk bu[eu ke[dk yi[sr 	並不可以	c=1 d=1 t=28322
b;[bk bu[eu ui[op 	並不是	c=2 d=1 t=30122
b;[bk fz[su 	並非	c=1 d=1 t=3011
b;[bk mz[dj 	並沒	c=0 d=0.1 t=2856
b;[bk mz[dj yb[uo 	並沒有	c=3 d=1.16447 t=21739
b;[bk qx[ke 	並且	c=63 d=1.23215 t=35745
b;[bk wz[dl 	併爲	c=1 d=1 t=19138
b;[bk wz[ha 	並未	c=1 d=1 t=2266
b;[bk x;[rh 	並行	c=3 d=2.13269 t=6524
b;[du 	冰	c=16 d=1 t=33084
b;[du ds[dq 	冰凍	c=2 d=1 t=11802
b;[du ff[mf 	冰粉	c=1 d=1 t=19552
b;[du ny[vp 	冰女	c=8 d=1.02286 t=19740
b;[du xd[va 	冰箱	c=6 d=1.06804 t=16104
b;[hk 	丙	c=1 d=1 t=10891
b;[qb 	兵	c=2 d=1.8311 t=19418
b;[qb li[vp 	兵力	c=18 d=4.32801 t=22999
b;[qb li[vp pl[pb 	兵力牌	c=5 d=1.09542 t=23044
b;[qb qi[kq 	兵器	c=0 d=0.1 t=34164
b;[ub 	餅	c=1 d=1 t=26338
ba[bb ba[bb 	爸爸	c=3 d=1 t=25289
ba[bb ma[nm 	爸媽	c=0 d=0.1 t=15837
ba[fb 	把	c=8 d=1 t=35266
ba[fb jq[dy 	把酒	c=1 d=1 t=1265
ba[fb ni[rd 	把你	c=2 d=1.0087 t=15624
ba[fb ta[gb 	把它	c=2 d=1 t=36584
ba[fb wo[fu 	把握	c=1 d=1 t=34487
ba[fu 	拔	c=2 d=1.96561 t=18704
ba[fu dk[vp 	拔刀	c=2 d=1.94649 t=27270
ba[fu dm[ov 	拔電	c=1 d=1 t=18734
ba[fu qd[ar 	拔槍	c=1 d=1 t=3396
ba[gb zi[lh 	靶子	c=1 d=1 t=22860
ba[kb 	吧	c=13 d=1 t=35862
ba[kb vu[dw 	吧主	c=1 d=1 t=355
ba[ku bx[kd 	巴別	c=0 d=0.1 t=25556
ba[ku bx[kd ta[tc 	巴別塔	c=4 d=3.11123 t=25760
ba[ku or[dx ze[dy bu[uj 	巴爾澤布	c=1 d=1 t=10704
ba[pd 	八	c=3 d=1 t=25486
ba[pd dm[bd bj[bf 	八點半	c=1 d=1 t=26853
ba[pd gw[tb 	八卦	c=1 d=1 t=20382
ba[pd is[ph 	八重	c=1 d=1 t=12426
ba[pd jq[pv 	八九	c=1 d=1 t=17754
ba[pd yt[ke 	八月	c=1 d=1 t=2259
ba[yg ti[ra 	霸體	c=12 d=1.02651 t=33459
bc[ae 	標	c=2 d=2.07789 t=7011
bc[ae hs[sg 	標紅	c=1 d=1 t=23091
bc[ae iu[ck 	標出	c=1 d=1 t=23166
bc[ae ji[yk 	標記	c=11 d=1 t=26067
bc[ae qm[vr 	標籤	c=1 d=1 t=28912
bc[ae qm[vr ye[eb 	標籤頁	c=0 d=0.1 t=13830
bc[ae ti[oy 	標題	c=8 d=1 t=35096
bc[ae vp[dv 	標準	c=3 d=1.00001 t=27368
bc[ae vp[dv ui[oc jm[mo 	標準時間	c=1 d=1 t=24950
bc[ae vp[dv xw[hb 	標準下	c=1 d=1 t=20202
bc[ae yi[hh xx[ve 	標一些	c=1 d=1 t=6997
bc[fy 	表	c=4 d=0.1 t=32929
bc[fy da[dz 	表達	c=9 d=2.69112 t=24879
bc[fy da[dz fh[dw ui[qg 	表達方式	c=1 d=1 t=31395
bc[fy di[bg 	表弟	c=0 d=0.1 t=16857
bc[fy q;[xf 	表情	c=6 d=1.00003 t=17480
bc[fy ui[ex 	表示	c=1 d=0.1 t=31341
bc[fy ui[ex fh[dw fa[dt 	表示方法	c=2 d=1.97531 t=31347
bc[fy ui[ex wz[dl 	表示爲	c=1 d=1 t=18205
bc[fy xd[dk 	表象	c=1 d=1 t=25025
bc[fy xm[wj 	表現	c=3 d=1 t=35837
bc[fy xm[wj li[vp 	表現力	c=1 d=1 t=34952
bc[fy yj[dg 	表演	c=4 d=1 t=34161
bc[fy yj[dg ve[to 	表演者	c=1 d=1 t=31909
bf[ah 	本	c=6 d=1.98556 t=17796
bf[ah ci[dd 	本次	c=3 d=1.03531 t=3953
bf[ah di[ty 	本地	c=6 d=1 t=36166
bf[ah di[ty rf[pd 	本地人	c=1 d=1 t=1835
bf[ah hv[wk he[rh 	本回合	c=2 d=1 t=10446
bf[ah ji[aj 	本機	c=1 d=1 t=14400
bf[ah ji[aj qi[kq rf[pd 	本機器人	c=1 d=1 t=4826
bf[ah jx[er dr[pj 	本階段	c=1 d=1 t=7989
bf[ah ke[hd 	本科	c=1 d=1 t=855
bf[ah ke[hd ug[pf 	本科生	c=9 d=1 t=20751
bf[ah ll[hm 	本來	c=6 d=1.00139 t=34459
bf[ah lp[ir 	本輪	c=0 d=0.1 t=22275
bf[ah lp[ir nz[kr 	本輪內	c=1 d=1 t=22276
bf[ah pl[pb 	本牌	c=1 d=1 t=8020
bf[ah rf[pd 	本人	c=4 d=1 t=21107
bf[ah ti[ra 	本體	c=2 d=1 t=12587
bf[ah uf[pu 	本身	c=6 d=1 t=33054
bf[ah ui[hk 	本事	c=0 d=0.1 t=22616
bf[ah ui[op 	本是	c=1 d=1 t=25014
bf[ah vi[pu 	本質	c=2 d=1 t=25028
bf[ah vi[pu uh[bh 	本質上	c=1 d=1 t=23627
bf[ah yb[df xi[yg 	本遊戲	c=3 d=1 t=27611
bf[ah yi[lx 	本意	c=1 d=1 t=4989
bf[du lq[dw dk[hd hl[dr bu[eu fu[ro hv[wk 	奔流到海不復回	c=1 d=1 t=1402
bf[du xd[pk 	奔向	c=1 d=1 t=24127
bg[eu 	泵	c=1 d=1 t=13678
bg[so 	繃	c=2 d=1 t=25120
bg[so bu[eu vu[rd 	繃不住	c=2 d=1 t=25279
bg[uo 	崩	c=2 d=1 t=12242
bg[uo hy[tb 	崩壞	c=62 d=1 t=35901
bg[uo hy[tb x;[op qs[xg tx[jp dk[bz 	崩壞星穹鐵道	c=3 d=1 t=26313
bg[uo hy[xb 	崩懷	c=-1 d=0 t=625
bg[uo tx[jp 	崩鐵	c=8 d=1.66034 t=31572
bh[al yh[ay 	榜樣	c=1 d=1 t=8633
bh[fe bh[fe 	邦邦	c=1 d=1 t=11894
bh[fj 	幫	c=3 d=1 t=16567
bh[fj bh[fj mh[xw 	幫幫忙	c=1 d=1 t=36491
bh[fj mh[xw 	幫忙	c=2 d=1 t=36801
bh[fj ni[rd 	幫你	c=5 d=1 t=30305
bh[fj ni[rd dl[cj ve[ym 	幫你帶着	c=1 d=1 t=20238
bh[fj ni[rd mf[rm 	幫你們	c=1 d=1 t=6503
bh[fj ta[ry 	幫他	c=1 d=1 t=3691
bh[fj vu[ql 	幫助	c=6 d=1.0118 t=29403
bh[fj wo[pf 	幫我	c=7 d=1.00633 t=36750
bh[rl wj[od 	傍晚	c=3 d=1.87378 t=26670
bh[sf gu[ko 	綁骨	c=1 d=1 t=32538
bi[bb 	比	c=13 d=2.4971 t=17320
bi[bb bu[eu uh[bh 	比不上	c=1 d=1 t=1559
bi[bb ff[bd 	比分	c=2 d=1.99005 t=7334
bi[bb jc[il 	比較	c=31 d=1.25998 t=36258
bi[bb jc[il do[xx 	比較多	c=1 d=1 t=34837
bi[bb jc[il hk[nz 	比較好	c=1 d=1 t=31289
bi[bb jc[il nj[yv 	比較難	c=1 d=1 t=6404
bi[bb jc[il yb[uo yi[lx si[tx 	比較有意思	c=1 d=1 t=27195
bi[bb li[rh 	比例	c=1 d=1 t=9667
bi[bb pn[fb 	比拼	c=1 d=1 t=22568
bi[bb qi[zk 	比起	c=4 d=2.96042 t=33633
bi[bb ru[nk 	比如	c=30 d=2.8892 t=35826
bi[bb ru[nk uo[yb 	比如說	c=2 d=1 t=33752
bi[bb sa[ce 	比薩	c=1 d=1 t=12804
bi[bb sl[gb 	比賽	c=9 d=1.02975 t=30345
bi[bb ta[ry 	比他	c=1 d=1 t=34444
bi[bb te[nt ly[wu 	比特率	c=1 d=1 t=6846
bi[bb ve[wz ge[ru 	比這個	c=3 d=1.99502 t=19014
bi[bb yr[ib ll[hm 	比原來	c=1 d=1 t=8822
bi[bb yu[eu 	比於	c=1 d=1 t=23928
bi[bu 	畢	c=2 d=1 t=26160
bi[bu j;[lo 	畢竟	c=8 d=1.27804 t=34781
bi[bu vi[ht 	畢至	c=1 d=1 t=20267
bi[bu ye[ub 	畢業	c=7 d=1 t=35723
bi[bu ye[ub ju[ep cj[br 	畢業聚餐	c=1 d=1 t=29137
bi[bu ye[ub lp[yr wf[wi 	畢業論文	c=1 d=1 t=21009
bi[bu ye[ub yk[xn qq[hu 	畢業要求	c=6 d=1.00002 t=26123
bi[bu ye[ub zb[tv le[vu 	畢業走了	c=1 d=1 t=3732
bi[ke ui[uj 	鄙視	c=0 d=0.1 t=11912
bi[ke ui[uj bi[ke ui[uj 	鄙視鄙視	c=1 d=1 t=11913
bi[mc 	閉	c=1 d=1 t=17118
bi[pj 	幣	c=3 d=1 t=11046
bi[pv 	匕	c=0 d=0.1 t=15808
bi[pv ub[be 	匕首	c=6 d=1 t=11583
bi[rp ci[vb 	彼此	c=1 d=1 t=29054
bi[rp de[ro 	彼得	c=2 d=0.622046 t=13577
bi[uo 	臂	c=1 d=1 t=36589
bi[ut kp[to 	壁坤	c=1 d=1 t=26997
bi[uz 	避	c=2 d=1 t=22162
bi[uz mm[dk 	避免	c=1 d=1 t=23341
bi[vm 	筆	c=0 d=0.1 t=16195
bi[vm ji[yk bf[ah 	筆記本	c=1 d=1 t=36762
bi[vm ve[to 	筆者	c=1 d=1 t=28768
bi[xp 	必	c=6 d=1 t=30319
bi[xp d;[gp 	必定	c=1 d=1 t=21973
bi[xp rj[xd 	必然	c=1 d=1 t=11009
bi[xp ug[op 	必勝	c=1 d=1 t=19889
bi[xp xt[xz 	必學	c=1 d=1 t=30223
bi[xp xu[py 	必須	c=25 d=1.00108 t=30956
bi[xp xu[py yk[xn 	必須要	c=3 d=1 t=33298
bi[xp y;[gx 	必應	c=4 d=3.54904 t=14866
bi[xp yb[uo 	必有	c=1 d=1 t=20976
bi[xp yk[xn 	必要	c=0 d=0.1 t=3894
bi[xp yk[xn x;[xp 	必要性	c=1 d=1 t=23020
bj[ap dg[dj 	板凳	c=1 d=1 t=30809
bj[ap zi[lh 	板子	c=1 d=1 t=12740
bj[bf 	半	c=4 d=1.00161 t=16190
bj[bf bl[eo 	半百	c=1 d=1 t=31372
bj[bf bu[vu 	半步	c=1 d=1 t=12939
bj[bf dk[kc ti[ra 	半導體	c=1 d=1 t=2314
bj[bf jt[dv sl[gb 	半決賽	c=1 d=1 t=5274
bj[bf nm[rn 	半年	c=1 d=1 t=23857
bj[ff yj[dg 	扮演	c=2 d=1 t=32473
bj[fv 	搬	c=1 d=0.1 t=18688
bj[fv hv[wk 	搬回	c=0 d=0.1 t=15775
bj[fv hv[wk qu[ts 	搬回去	c=1 d=1 t=15776
bj[fv ks[xg 	搬空	c=1 d=1 t=3902
bj[fv yi[hh ci[dd 	搬一次	c=1 d=1 t=18689
bj[fv zb[tv 	搬走	c=3 d=2.52324 t=3737
bj[fv zb[tv le[vu 	搬走了	c=1 d=1 t=3679
bj[lb fa[dt 	辦法	c=1 d=1 t=30463
bj[lb gs[bs 	辦公	c=2 d=0.1 t=36720
bj[lb gs[bs ui[gh 	辦公室	c=2 d=1 t=36695
bj[lb gs[bs vo[ba 	辦公桌	c=2 d=1 t=36723
bj[lb gs[bs wz[rl 	辦公位	c=1 d=1 t=36721
bj[lb gs[bs yi[ad 	辦公椅	c=1 d=1 t=7471
bj[pp 	版	c=13 d=1.99005 t=36236
bj[pp bf[ah 	版本	c=7 d=1 t=36257
bj[pp bm[lz 	版邊	c=1 d=1 t=31550
bj[pp qr[ay 	版權	c=0 d=0.1 t=32766
bj[pp tu[ww 	版圖	c=1 d=1 t=6966
bj[rb yb[uo 	伴有	c=1 d=1 t=32743
bj[tp 	坂	c=1 d=1 t=11695
bj[vj 	般	c=2 d=1 t=36047
bj[wd 	班	c=2 d=1 t=12650
bk[bk 	包	c=2 d=0.100019 t=19509
bk[bk hj[rk 	包含	c=1 d=1 t=27538
bk[bk jc[ul zi[lh 	包餃子	c=1 d=1 t=17330
bk[bk ko[fq 	包括	c=6 d=1 t=35022
bk[bk pl[pb 	包牌	c=1 d=1 t=35999
bk[bk vd[dy 	包裝	c=2 d=1 t=35050
bk[bk wz[ww 	包圍	c=1 d=1 t=6581
bk[fb qm[bd 	抱歉	c=2 d=1 t=23772
bk[fb tr[wc 	抱團	c=1 d=1 t=22821
bk[fb ve[ym 	抱着	c=1 d=1 t=7508
bk[fb vf[ag 	抱枕	c=1 d=1 t=16757
bk[fb yb[uo 	抱有	c=1 d=1 t=36337
bk[fe 	報	c=3 d=1 t=24136
bk[fe bz[wt 	報備	c=1 d=1 t=15900
bk[fe co[jg 	報錯	c=0 d=0.1 t=18743
bk[fe co[jg ma[em 	報錯碼	c=1 d=1 t=18744
bk[fe dk[bz 	報道	c=1 d=1 t=31727
bk[fe dk[hd 	報到	c=3 d=1 t=6121
bk[fe gk[nk 	報告	c=2 d=1.00001 t=23508
bk[fe jw[rr 	報價	c=2 d=1.39259 t=35034
bk[fe vi[su 	報紙	c=1 d=1 t=34023
bk[gw 	寶	c=2 d=1 t=17646
bk[gw bk[gw 	寶寶	c=1 d=1 t=25781
bk[gw bz[kr 	寶貝	c=0 d=0.1 t=15898
bk[gw ke[dk 	寶可	c=0 d=0.1 t=14336
bk[gw ke[dk mg[ax 	寶可夢	c=1 d=1 t=14337
bk[gw ui[ek 	寶石	c=1 d=1 t=23206
bk[gw xd[va 	寶箱	c=3 d=1 t=26641
bk[ho 	爆	c=21 d=1.0124 t=33872
bk[ho bk[ho 	爆爆	c=1 d=1 t=4743
bk[ho bk[ho bk[ho 	爆爆爆	c=1 d=1 t=6028
bk[ho dc[fb 	爆掉	c=1 d=1 t=22770
bk[ho fa[vy 	爆發	c=1 d=1 t=11863
bk[ho ke[kt mg[ax 	爆嗑夢	c=1 d=1 t=14336
bk[ho le[vu 	爆了	c=1 d=1 t=34037
